Configuration,Measured-Resistance,Expected Resistance,Pass/Fail
J1-4-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-4-J7-J19-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-1-J6,3.44885048,N/A,PASS
J1-5-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-5-J7-J19-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-9-J6,3.04048526,N/A,PASS
J1-6-J7-J19-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-8-J6,3.48836226,N/A,PASS
J1-7-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-7-J7-J19-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-7-J6,3.48316488,N/A,PASS
J1-8-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-8-J7-J19-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-6-J6,3.02128136,N/A,PASS
J1-9-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-9-J7-J19-J6,9.9e+37,N/A,PASS
J18-J7-J3-1-J6,9.9e+37,N/A,PASS
J18-J7-J3-2-J6,9.9e+37,N/A,PASS
J18-J7-J3-3-J6,9.9e+37,N/A,PASS
J18-J7-J3-4-J6,9.9e+37,N/A,PASS
J18-J7-J3-5-J6,9.9e+37,N/A,PASS
J18-J7-J3-6-J6,9.9e+37,N/A,PASS
J18-J7-J3-7-J6,9.9e+37,N/A,PASS
J18-J7-J3-8-J6,9.9e+37,N/A,PASS
J18-J7-J3-9-J6,9.9e+37,N/A,PASS
J18-J7-J19-J6,2.57592735,N/A,PASS
Cable Status,PASS
Total Time Elapsed,77.70414710044861
